"time","HEOG"
2.798,0.030637
2.8,0.030637
2.802,0.028084
2.804,0.028084
2.806,0.028084
2.808,0.028084
2.81,0.028084
2.812,0.025531
2.814,0.025531
2.816,0.020425
2.818,0.025531
2.82,0.017871
2.822,0.022978
2.824,0.017871
2.826,0.017871
2.828,0.025531
2.83,0.025531
2.832,0.020425
2.834,0.028084
2.836,0.022978
2.838,0.028084
2.84,0.030637
2.842,0.025531
2.844,0.030637
2.846,0.025531
2.848,0.025531
2.85,0.028084
2.852,0.028084
2.854,0.028084
2.856,0.025531
2.858,0.035743
2.86,0.03319
2.862,0.028084
2.864,0.025531
2.866,0.028084
2.868,0.020425
2.87,0.025531
2.872,0.017871
2.874,0.017871
2.876,0.017871
2.878,0.017871
2.88,0.022978
2.882,0.022978
2.884,0.022978
2.886,0.022978
2.888,0.022978
2.89,0.030637
2.892,0.030637
2.894,0.022978
2.896,0.022978
2.898,0.025531
2.9,0.020425
2.902,0.020425
2.904,0.025531
2.906,0.025531
2.908,0.028084
2.91,0.030637
2.912,0.030637
2.914,0.028084
2.916,0.020425
2.918,0.028084
2.92,0.020425
2.922,0.020425
2.924,0.028084
2.926,0.028084
2.928,0.035743
2.93,0.03319
2.932,0.035743
2.934,0.030637
2.936,0.025531
2.938,0.030637
2.94,0.030637
2.942,0.035743
2.944,0.035743
2.946,0.028084
2.948,0.028084
2.95,0.022978
2.952,0.022978
2.954,0.028084
2.956,0.028084
2.958,0.028084
2.96,0.035743
2.962,0.035743
2.964,0.035743
2.966,0.025531
2.968,0.030637
2.97,0.020425
2.972,0.020425
2.974,0.020425
2.976,0.022978
2.978,0.020425
2.98,0.028084
2.982,0.028084
2.984,0.025531
2.986,0.020425
2.988,0.020425
2.99,0.010212
2.992,0.017871
2.994,0.017871
2.996,0.017871
2.998,0.022978
3,0.022978
3.002,0
3.004,0
3.006,0.007659
3.008,0.002553
3.01,0.007659
3.012,0.007659
3.014,0.002553
3.016,0
3.018,0
3.02,-0.002553
3.022,-0.005106
3.024,-0.010212
3.026,-0.020425
3.028,-0.020425
3.03,-0.030637
3.032,-0.025531
3.034,-0.035743
3.036,-0.03319
